,university,course,type,review,votes,students,difficulty
240,Coursera Project Network,Creating a Word Jumble Game in Python Using Tkinter GUI,GUIDED PROJECT,,,,Beginner
241,Coursera Project Network,Design and Develop an Obstacles Game using Pygame in Python,GUIDED PROJECT,,,,Intermediate
242,IBM,Machine Learning with Python,COURSE,4.7,11004.0,210000.0,Intermediate
243,University of Michigan,Applied Machine Learning in Python,COURSE,4.6,7342.0,230000.0,Intermediate
244,Coursera Project Network,Satellite Imagery Analysis in Python,GUIDED PROJECT,4.2,44.0,,Beginner
245,Universidade de São Paulo,Introdução à Ciência da Computação com Python Parte 2,COURSE,4.9,1045.0,21000.0,Beginner
246,Coursera Project Network,"Extract, Transform & Load using Python",GUIDED PROJECT,3.9,13.0,,Beginner
247,Coursera Project Network,Climate Geospatial Analysis on Python with Xarray,GUIDED PROJECT,4.6,18.0,,Intermediate
248,Coursera Project Network,Computer Vision - Image Basics with OpenCV and Python,GUIDED PROJECT,4.3,638.0,13000.0,Beginner
249,University of Michigan,Fitting Statistical Models to Data with Python,COURSE,4.4,533.0,23000.0,Intermediate
250,University of Michigan,Applied Social Network Analysis in Python,COURSE,4.7,2435.0,78000.0,Intermediate
251,Ludwig-Maximilians-Universität München (LMU),"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",COURSE,4.7,250.0,13000.0,Intermediate
252,Coursera Project Network,Clustering Geolocation Data Intelligently in Python,GUIDED PROJECT,4.5,390.0,10000.0,Intermediate
253,Coursera Project Network,Network Data Science with NetworkX and Python,GUIDED PROJECT,4.3,76.0,4800.0,Intermediate
254,Coursera Project Network,Use Python Django to Build a Website,GUIDED PROJECT,4.1,8.0,,Intermediate
255,Coursera Project Network,Image Processing with Python,GUIDED PROJECT,4.3,429.0,11000.0,Intermediate
256,Coursera Project Network,Class Creation in Object Oriented Python,GUIDED PROJECT,4.3,72.0,2400.0,Beginner
257,EDHEC Business School,Python and Machine-Learning for Asset Management with Alternative Data Sets,COURSE,4.4,190.0,9400.0,Intermediate
258,Coursera Project Network,Introduction to Natural Language Processing in Python,GUIDED PROJECT,3.5,43.0,2600.0,Intermediate
259,Coursera Project Network,Linear Regression with Python,GUIDED PROJECT,4.6,400.0,9700.0,Intermediate
260,SAS,Using SAS Viya REST APIs with Python and R,COURSE,4.5,11.0,2800.0,Mixed
261,Coursera Project Network,Python OpenCV Augmented Reality,GUIDED PROJECT,,,,Beginner
262,Università di Napoli Federico II,Python per la Data Science,COURSE,,,,Intermediate
263,Coursera Project Network,Machine Learning Feature Selection in Python,GUIDED PROJECT,4.0,72.0,3800.0,Intermediate
264,Coursera Project Network,Python for Finance: Portfolio Statistical Data Analysis,GUIDED PROJECT,4.7,7.0,,Beginner
265,Coursera Project Network,Create your own Sudoku Solver using AI and Python,GUIDED PROJECT,4.2,30.0,2200.0,Intermediate
266,Coursera Project Network,Python OpenCV Motion Detection,GUIDED PROJECT,4.1,7.0,,Beginner
267,Coursera Project Network,Create a Python Application using PyMongo and MongoDB Database,GUIDED PROJECT,4.5,59.0,3000.0,Intermediate
268,Coursera Project Network,Building your first GAN in Python,GUIDED PROJECT,2.2,6.0,,Intermediate
269,Coursera Project Network,Working with Amazon DynamoDB using Python & Boto3,GUIDED PROJECT,,,,Beginner
270,Coursera Project Network,Robot Localization with Python and Particle Filters,GUIDED PROJECT,,,,Advanced
271,Coursera Project Network,Build a Python application(API) on AWS(Lambda+API Gateway),GUIDED PROJECT,4.1,16.0,,Beginner
272,Rice University,Python Data Visualization,COURSE,4.7,489.0,31000.0,Beginner
273,IBM,Visualización de Datos con Python,COURSE,4.8,6.0,,Intermediate
274,Coursera Project Network,Working with AWS S3 Buckets using Python & boto3,GUIDED PROJECT,,,,Beginner
275,Coursera Project Network,Build a Python GUI with Tkinter,GUIDED PROJECT,4.4,64.0,2900.0,Intermediate
276,Coursera Project Network,Language Classification with Naive Bayes in Python,GUIDED PROJECT,4.5,147.0,6000.0,Intermediate
277,Coursera Project Network,Procesamiento del lenguaje natural con Python y Power BI,GUIDED PROJECT,,,,Intermediate
278,Coursera Project Network,Detect Fake News in Python with Tensorflow,GUIDED PROJECT,,,,Intermediate
279,Coursera Project Network,Python Data Structures,GUIDED PROJECT,4.4,283.0,7700.0,Intermediate
280,Coursera Project Network,Big-O Time Complexity in Python Code,GUIDED PROJECT,4.6,17.0,,Intermediate
281,Coursera Project Network,Analysing Covid-19 Geospatial data with Python,GUIDED PROJECT,,,,Intermediate
282,Coursera Project Network,Python Optical Character Recognition using Pytorch,GUIDED PROJECT,,,,Beginner
283,Coursera Project Network,ML: Diagnose the presence of Breast Cancer with Python,GUIDED PROJECT,,,,Intermediate
284,Coursera Project Network,Testing and Debugging Python,GUIDED PROJECT,4.4,206.0,5800.0,Intermediate
285,Coursera Project Network,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,GUIDED PROJECT,4.6,12.0,,Beginner
286,Coursera Project Network,Introduction to Search Techniques in Python: Binary Search,GUIDED PROJECT,,,,Beginner
287,Coursera Project Network,Create a Boggle Word Solver using recursion in Python,GUIDED PROJECT,4.3,22.0,2300.0,Intermediate
288,Coursera Project Network,"Creating a Rock, Paper, Scissors Game in Python",GUIDED PROJECT,,,,Beginner
289,Coursera Project Network,Analyze Box Office Data with Plotly and Python,GUIDED PROJECT,4.5,229.0,8400.0,Beginner
290,Coursera Project Network,Crea tu primera aplicación web con Python y Flask,GUIDED PROJECT,,,,Intermediate
291,Coursera Project Network,Create a Dynamic-Link Library with DevC++ for Python,GUIDED PROJECT,,,,Intermediate
292,IBM,Aprendizaje Automático con Python,COURSE,,,,Intermediate
293,University of Michigan,Uso de bases de datos con Python,COURSE,,,,Mixed
294,University of Michigan,Uso de Python para Acceder a Datos Web,COURSE,,,,Mixed
295,Coursera Project Network,Create Beautiful Data Visualizations with Python and Altair,GUIDED PROJECT,,,,Intermediate
296,Coursera Project Network,Video Basics with OpenCV and Python,GUIDED PROJECT,4.1,204.0,7200.0,Beginner
297,IBM,Aprendizado de máquina com Python,COURSE,,,,Intermediate
298,University of Michigan,Использование языка Python для доступа к веб-данным,COURSE,,,,Mixed
299,Coursera Project Network,Support Vector Machine Classification in Python,GUIDED PROJECT,4.4,141.0,5800.0,Intermediate
300,Coursera Project Network,Geo-Visualization in Python,GUIDED PROJECT,4.1,82.0,3800.0,Beginner
301,Coursera Project Network,Image Segmentation with Python and Unsupervised Learning,GUIDED PROJECT,,,,Intermediate
302,Coursera Project Network,Creating a Wordcloud using NLP and TF-IDF in Python,GUIDED PROJECT,,,,Beginner
303,Coursera Project Network,FIFA20 Data Exploration using Python,GUIDED PROJECT,4.6,48.0,1800.0,Beginner
304,Coursera Project Network,Version Control of a Python Project using Git,GUIDED PROJECT,4.4,28.0,1700.0,Intermediate
305,Coursera Project Network,Machine Learning con Python. Nivel intermedio,GUIDED PROJECT,,,,Beginner
306,Coursera Project Network,Determine Shortest Paths Between Routers Using Python,GUIDED PROJECT,,,,Intermediate
307,Coursera Project Network,Wrangling Data for Data Analysts with Python,GUIDED PROJECT,,,,Beginner
308,University of Michigan,Python استخدام قواعد البيانات مع,COURSE,,,,Mixed
309,Coursera Project Network,Use Python and Java to Create a GUI Application,GUIDED PROJECT,,,,Intermediate
310,Coursera Project Network,Visualización Avanzada de datos con Python,GUIDED PROJECT,,,,Intermediate
311,Coursera Project Network,Análisis exploratorio de datos con Python y Pandas,GUIDED PROJECT,,,,Beginner
312,Coursera Project Network,بناء Neural Network مكونه من 3 طبقات  بأستخدام لغة Python,GUIDED PROJECT,,,,Beginner
313,Coursera Project Network,Message Encoding/Decoding in Python with GUI,GUIDED PROJECT,,,,Beginner
314,Coursera Project Network,MatplotLib Python باستخدام  plots إنشاء ال,GUIDED PROJECT,,,,Beginner
315,Coursera Project Network,Python في Pygame تصميم و تطوير لعبة العقبات باستخدام,GUIDED PROJECT,,,,Intermediate
316,Coursera Project Network,Creando simulaciones con python,GUIDED PROJECT,,,,Intermediate
317,Coursera Project Network,برنامج تنبيه سطح المكتب باستخدام Python: إشعارات Covid-19,GUIDED PROJECT,,,,Intermediate
318,Coursera Project Network,Affectation de variable en Python,GUIDED PROJECT,,,,Beginner
319,Coursera Project Network,Python معالجة مسبقة للبيانات و تحليلها بواسطة,GUIDED PROJECT,,,,Beginner
320,Coursera Project Network,DataViz - Grammaire des Graphiques avec Python,GUIDED PROJECT,,,,Intermediate
321,Coursera Project Network,Création de chaînes en Python,GUIDED PROJECT,,,,Beginner
322,Coursera Project Network,Des nombres et plus en Python,GUIDED PROJECT,,,,Beginner
323,Coursera Project Network,لعبة الثعبان عن طريق python:استخدم pygame لتصنع لعبتك الخاصة,GUIDED PROJECT,,,,Intermediate
324,Coursera Project Network,Aprendizaje automático con Python y Azure Notebooks,GUIDED PROJECT,,,,Beginner
325,Coursera Project Network,Extract Text Data with Python and Regex,GUIDED PROJECT,,,,Intermediate
326,IBM,Introduction to Data Science,SPECIALIZATION,4.6,56644.0,540000.0,Beginner
327,Stanford University,Machine Learning,COURSE,4.9,160251.0,4200000.0,Mixed
328,IBM,Applied Data Science,SPECIALIZATION,4.6,30263.0,390000.0,Beginner
329,IBM,IBM Data Analytics with Excel and R,PROFESSIONAL CERTIFICATE,4.7,3213.0,85000.0,Beginner
330,IBM,Data Engineering Foundations,SPECIALIZATION,4.6,27106.0,380000.0,Beginner
331,IBM,IBM Cybersecurity Analyst,PROFESSIONAL CERTIFICATE,4.5,9308.0,180000.0,Beginner
332,IBM,IBM Applied AI,PROFESSIONAL CERTIFICATE,4.6,29756.0,430000.0,Beginner
333,Google Cloud,Preparing for Google Cloud Certification: Machine Learning Engineer,PROFESSIONAL CERTIFICATE,4.6,22128.0,310000.0,Intermediate
334,Johns Hopkins University,Genomic Data Science,SPECIALIZATION,4.4,4922.0,110000.0,Intermediate
335,IBM,IBM Machine Learning,PROFESSIONAL CERTIFICATE,4.6,387.0,19000.0,Intermediate
336,Imperial College London,Mathematics for Machine Learning,SPECIALIZATION,4.6,11387.0,270000.0,Beginner
337,IBM,Tools for Data Science,COURSE,4.5,21454.0,210000.0,Beginner
338,DeepLearning.AI,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",COURSE,4.7,15315.0,250000.0,Intermediate
339,HSE University,Advanced Machine Learning,SPECIALIZATION,4.4,3853.0,320000.0,Advanced
340,DeepLearning.AI,Convolutional Neural Networks,COURSE,4.9,38978.0,360000.0,Intermediate
341,"University of California, Santa Cruz",Coding for Everyone: C and C++,SPECIALIZATION,4.5,6252.0,340000.0,Beginner
342,Columbia University,Financial Engineering and Risk Management Part I,COURSE,4.6,2296.0,380000.0,Mixed
343,University of Pennsylvania,Computational Thinking for Problem Solving,COURSE,4.7,937.0,61000.0,Beginner
344,DeepLearning.AI,Sequence Models,COURSE,4.8,26685.0,290000.0,Intermediate
345,DeepLearning.AI,Build Basic Generative Adversarial Networks (GANs),COURSE,4.7,1094.0,29000.0,Intermediate
346,Imperial College London,TensorFlow 2 for Deep Learning,SPECIALIZATION,4.9,380.0,23000.0,Intermediate
347,University of Washington,Machine Learning,SPECIALIZATION,4.6,14847.0,410000.0,Intermediate
348,"University of California, Davis",Introduction to Web Development,COURSE,4.7,2894.0,160000.0,Beginner
349,HSE University,Mathematics for Data Science,SPECIALIZATION,4.4,722.0,57000.0,Beginner
350,University of Illinois at Urbana-Champaign,Accounting Data Analytics,SPECIALIZATION,4.7,403.0,26000.0,Intermediate
351,University of California San Diego,Biology Meets Programming: Bioinformatics for Beginners,COURSE,4.3,1189.0,120000.0,Beginner
352,DeepLearning.AI,"Sequences, Time Series and Prediction",COURSE,4.7,4007.0,79000.0,Intermediate
353,University of Washington,Computational Neuroscience,COURSE,4.6,856.0,86000.0,Beginner
354,IBM,Exploratory Data Analysis for Machine Learning,COURSE,4.6,305.0,14000.0,Intermediate
355,"University of California, Santa Cruz",Bayesian Statistics: From Concept to Data Analysis,COURSE,4.6,2713.0,120000.0,Intermediate
356,University of Pennsylvania,"Application of AI, InsurTech, and Real Estate Technology",COURSE,4.6,376.0,8600.0,Mixed
357,Amazon Web Services,Building Modern Node.js Applications on AWS,COURSE,4.4,31.0,5200.0,Intermediate
358,LearnQuest,Test-Driven Development,SPECIALIZATION,4.0,17.0,,Intermediate
359,Coursera Project Network,Fake News Detection with Machine Learning,GUIDED PROJECT,4.6,174.0,7700.0,Beginner
360,Northwestern University,"Modern Robotics, Course 1:  Foundations of Robot Motion",COURSE,4.7,658.0,32000.0,Intermediate
361,MongoDB Inc.,Introduction to MongoDB,COURSE,4.3,562.0,45000.0,Intermediate
362,Google Cloud,End-to-End Machine Learning with TensorFlow on GCP,COURSE,4.5,1547.0,50000.0,Advanced
363,CentraleSupélec,Build Your First Android App (Project-Centered Course),COURSE,4.2,1781.0,300000.0,Mixed
364,"University of California, Irvine",Data Science Fundamentals,SPECIALIZATION,4.2,63.0,3100.0,Beginner
365,HSE University,How to Win a Data Science Competition: Learn from Top Kagglers,COURSE,4.7,1085.0,100000.0,Advanced
366,Imperial College London,Probabilistic Deep Learning with TensorFlow 2,COURSE,4.6,41.0,6700.0,Advanced
367,Coursera Project Network,Basic Image Classification with TensorFlow,GUIDED PROJECT,4.6,666.0,14000.0,Beginner
368,University of Washington,Machine Learning: Regression,COURSE,4.8,5337.0,140000.0,Mixed
369,IBM,"Developing Applications with SQL, Databases, and Django",COURSE,4.8,19.0,1800.0,Intermediate
370,Coursera Project Network,Get Familiar with ML basics in a Kaggle Competition,GUIDED PROJECT,4.4,8.0,,Beginner
371,Coursera Project Network,Multiple Linear Regression with scikit-learn,GUIDED PROJECT,4.5,331.0,7200.0,Beginner
372,Google Cloud,Machine Learning with TensorFlow on Google Cloud Platform en Español,SPECIALIZATION,4.6,323.0,9100.0,Intermediate
373,Coursera Project Network,Exploratory Data Analysis,GUIDED PROJECT,4.3,114.0,4900.0,Intermediate
374,Princeton University,Computer Science: Programming with a Purpose,COURSE,4.7,487.0,98000.0,Beginner
375,Coursera Project Network,Develop a Company Website with Wix,GUIDED PROJECT,4.6,447.0,15000.0,Beginner
376,Coursera Project Network,Create a Google Ads Video Campaign,GUIDED PROJECT,4.7,40.0,1800.0,Beginner
377,Coursera Project Network,Deep Learning with PyTorch : Neural Style Transfer,GUIDED PROJECT,4.4,23.0,,Intermediate
378,Coursera Community Project Network,Developing Data Science Projects With Limited Computer Resources Using Google Colaboratory,GUIDED PROJECT,4.6,7.0,,Intermediate
379,Coursera Project Network,SQL Functions,GUIDED PROJECT,4.3,26.0,,Beginner
380,University of Washington,Data Science at Scale,SPECIALIZATION,4.2,886.0,81000.0,Intermediate
381,Google,Google IT Support,PROFESSIONAL CERTIFICATE,4.8,99156.0,900000.0,Beginner
382,Johns Hopkins University,"HTML, CSS, and Javascript for Web Developers",COURSE,4.8,11463.0,530000.0,Mixed
383,Stanford University,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",COURSE,4.8,4514.0,170000.0,Intermediate
384,New York Institute of Finance,Machine Learning for Trading,SPECIALIZATION,3.9,803.0,32000.0,Intermediate
385,Duke University,Introduction to Machine Learning,COURSE,4.7,2412.0,150000.0,Intermediate
386,Google Cloud,Getting Started with Google Sheets,COURSE,4.7,979.0,53000.0,Beginner
387,University of London,Machine Learning for All,COURSE,4.7,2498.0,90000.0,Beginner
388,Amazon Web Services,Getting Started with AWS Machine Learning,COURSE,4.5,5333.0,160000.0,Intermediate
389,Databricks,Introduction to Computational Statistics for Data Scientists,SPECIALIZATION,,,,Beginner
390,Google,Introduction to Git and GitHub,COURSE,4.8,4656.0,110000.0,Beginner
391,Pontificia Universidad Católica de Chile,English for Common Interactions in the Workplace: Basic Level,COURSE,4.7,646.0,56000.0,Mixed
392,Amazon Web Services,Building Modern Java Applications on AWS,COURSE,4.7,24.0,5400.0,Intermediate
393,University of Michigan,Web Application Technologies and Django,COURSE,4.7,1103.0,48000.0,Intermediate
394,Google Cloud,"Introduction to Trading, Machine Learning & GCP",COURSE,4.0,619.0,26000.0,Intermediate
395,IBM,Advanced Machine Learning and Signal Processing,COURSE,4.5,1131.0,36000.0,Advanced
396,University of California San Diego,Data Structures,COURSE,4.6,4212.0,190000.0,Intermediate
397,Saint Petersburg State University,Competitive Programmer's Core Skills,COURSE,4.6,266.0,38000.0,Intermediate
398,New York Institute of Finance,Using Machine Learning in Trading and Finance,COURSE,3.9,255.0,13000.0,Intermediate
399,University of Michigan,Building Web Applications in Django,COURSE,4.7,435.0,23000.0,Intermediate
400,New York Institute of Finance,Reinforcement Learning for Trading Strategies,COURSE,3.7,159.0,8700.0,Intermediate
401,New York University,Guided Tour of Machine Learning in Finance,COURSE,3.8,595.0,25000.0,Intermediate
402,Duke University,Cloud Computing Foundations,COURSE,5.0,13.0,,Beginner
403,Coursera Project Network,Bitcoin Price Prediction using Facebook Prophet,GUIDED PROJECT,4.5,34.0,,Beginner
404,Amazon Web Services,Building Modern .NET Applications on AWS,COURSE,,,,Intermediate
405,University of Washington,Machine Learning: Classification,COURSE,4.7,3561.0,110000.0,Mixed
406,Duke University,"Cloud Virtualization, Containers and APIs",COURSE,4.8,6.0,,Beginner
407,New York University,Fundamentals of Machine Learning in Finance,COURSE,3.8,290.0,15000.0,Intermediate
408,University of California San Diego,Advanced Algorithms and Complexity,COURSE,4.6,595.0,65000.0,Advanced
409,Duke University,Cloud Data Engineering,COURSE,,,,Intermediate
410,Rice University,Algorithmic Thinking (Part 1),COURSE,4.7,324.0,47000.0,Intermediate
411,Coursera Project Network,Data Visualization with Plotly Express,GUIDED PROJECT,4.7,255.0,6800.0,Intermediate
412,SberUniversity,Машинное обучение в финансах,COURSE,4.5,77.0,8100.0,Intermediate
413,Rice University,Algorithmic Thinking (Part 2),COURSE,4.7,199.0,21000.0,Intermediate
414,Coursera Project Network,Visualizing Filters of a CNN using TensorFlow,GUIDED PROJECT,5.0,6.0,,Intermediate
415,University of Michigan,Moneyball and Beyond,COURSE,,,,Mixed
416,DeepLearning.AI,DeepLearning.AI TensorFlow Developer,PROFESSIONAL CERTIFICATE,4.7,19270.0,290000.0,Intermediate
417,DeepLearning.AI,Natural Language Processing,SPECIALIZATION,4.6,3440.0,86000.0,Intermediate
418,University of Pennsylvania,Fintech: Foundations & Applications of Financial Technology,SPECIALIZATION,4.6,2148.0,45000.0,Beginner
419,University of Virginia,Digital Product Management,SPECIALIZATION,4.7,6772.0,250000.0,Beginner
420,Google Cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer,PROFESSIONAL CERTIFICATE,4.7,44641.0,570000.0,Beginner
421,Google Cloud,Preparing for Google Cloud Certification: Cloud Data Engineer,PROFESSIONAL CERTIFICATE,4.6,15009.0,210000.0,Intermediate
422,Google Cloud,"Data Engineering, Big Data, and Machine Learning on GCP",SPECIALIZATION,4.6,14796.0,210000.0,Intermediate
423,DeepLearning.AI,Neural Networks and Deep Learning,COURSE,4.9,106332.0,960000.0,Intermediate
424,DeepLearning.AI,TensorFlow: Advanced Techniques,SPECIALIZATION,4.8,564.0,15000.0,Intermediate
425,DeepLearning.AI,Generative Adversarial Networks (GANs),SPECIALIZATION,4.7,1277.0,31000.0,Intermediate
426,University at Buffalo,Blockchain,SPECIALIZATION,4.6,5888.0,140000.0,Intermediate
427,Macquarie University,Excel Skills for Data Analytics and Visualization,SPECIALIZATION,4.8,1238.0,54000.0,Intermediate
428,IBM,IBM Introduction to Machine Learning,SPECIALIZATION,4.6,361.0,16000.0,Intermediate
429,University of Toronto,Self-Driving Cars,SPECIALIZATION,4.7,2597.0,110000.0,Advanced
430,IBM,Security Analyst Fundamentals,SPECIALIZATION,4.6,973.0,21000.0,Beginner
431,University of California San Diego,Introduction to Discrete Mathematics for Computer Science,SPECIALIZATION,4.5,2891.0,140000.0,Beginner
432,DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",COURSE,4.9,58461.0,400000.0,Intermediate
433,Atlassian,Agile with Atlassian Jira,COURSE,4.7,4041.0,93000.0,Beginner
434,University of Alberta,Software Product Management,SPECIALIZATION,4.7,9710.0,170000.0,Beginner
435,Google Cloud,Machine Learning with TensorFlow on Google Cloud Platform,SPECIALIZATION,4.5,8646.0,110000.0,Intermediate
436,IBM,Introduction to Data Analytics,COURSE,4.8,2477.0,70000.0,Beginner
437,"University of California, Davis",Geographic Information Systems  (GIS),SPECIALIZATION,4.8,5185.0,130000.0,Beginner
438,Duke University,Object Oriented Programming in Java,SPECIALIZATION,4.6,12275.0,470000.0,Beginner
439,DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,COURSE,4.6,2692.0,78000.0,Intermediate
440,University of Colorado Boulder,Algorithms for Battery Management Systems,SPECIALIZATION,4.7,1366.0,32000.0,Intermediate
441,"University of California, Irvine",An Introduction to Programming the Internet of Things (IOT),SPECIALIZATION,4.6,17220.0,410000.0,Beginner
442,École Polytechnique Fédérale de Lausanne,Effective Programming in Scala,COURSE,4.9,9.0,1600.0,Beginner
443,Moscow Institute of Physics and Technology,Машинное обучение и анализ данных,SPECIALIZATION,4.7,6235.0,97000.0,Intermediate
444,Google Cloud,From Data to Insights with Google Cloud Platform,SPECIALIZATION,4.6,3176.0,49000.0,Beginner
445,University of California San Diego,Big Data,SPECIALIZATION,4.5,12307.0,310000.0,Beginner
446,DeepLearning.AI,TensorFlow: Data and Deployment,SPECIALIZATION,4.6,1102.0,36000.0,Intermediate
447,LearnQuest,Swift 5 iOS Application Developer,SPECIALIZATION,4.5,639.0,19000.0,Beginner
448,DeepLearning.AI,Convolutional Neural Networks in TensorFlow,COURSE,4.7,6688.0,93000.0,Intermediate
449,Vanderbilt University,Android App Development,SPECIALIZATION,4.5,3140.0,190000.0,Beginner
450,Imperial College London,Mathematics for Machine Learning: Linear Algebra,COURSE,4.7,9769.0,240000.0,Beginner
451,IBM,Ciencia de Datos de IBM,PROFESSIONAL CERTIFICATE,4.6,85.0,2300.0,Beginner
452,Cloudera,Modern Big Data Analysis with SQL,SPECIALIZATION,4.8,1034.0,43000.0,Beginner
453,IBM,Analista de Datos de IBM,PROFESSIONAL CERTIFICATE,4.4,89.0,4300.0,Beginner
454,University of Toronto,"GIS, Mapping, and Spatial Analysis",SPECIALIZATION,4.9,1837.0,52000.0,Beginner
455,DeepLearning.AI,Natural Language Processing in TensorFlow,COURSE,4.6,5403.0,89000.0,Intermediate
456,DeepLearning.AI,Natural Language Processing with Probabilistic Models,COURSE,4.7,1109.0,34000.0,Intermediate
457,IBM,Data Visualization and Dashboards with Excel and Cognos,COURSE,4.7,589.0,16000.0,Beginner
458,University of Colorado Boulder,Spacecraft Dynamics and Control,SPECIALIZATION,4.8,318.0,22000.0,Advanced
459,Northwestern University,"Modern Robotics:  Mechanics, Planning, and Control",SPECIALIZATION,4.7,729.0,36000.0,Intermediate
460,Lund University,AI & Law,COURSE,4.7,51.0,3100.0,Mixed
461,DeepLearning.AI,"Custom Models, Layers, and Loss Functions with TensorFlow",COURSE,4.9,420.0,11000.0,Intermediate
462,University of California San Diego,Object Oriented Java Programming: Data Structures and Beyond,SPECIALIZATION,4.7,6399.0,310000.0,Intermediate
463,Johns Hopkins University,Mastering Software Development in R,SPECIALIZATION,4.3,1377.0,66000.0,Beginner
464,The Linux Foundation,"Open Source Software Development, Linux and Git",SPECIALIZATION,4.5,2113.0,49000.0,Beginner
465,University of Michigan,Extended Reality for Everybody,SPECIALIZATION,4.7,86.0,4500.0,Beginner
466,IBM,Introduction to Data Engineering,COURSE,4.7,71.0,4400.0,Beginner
467,University of California San Diego,Algorithmic Toolbox,COURSE,4.6,10667.0,380000.0,Intermediate
468,HSE University,Математика для анализа данных,SPECIALIZATION,4.7,22.0,1700.0,Beginner
469,DeepLearning.AI,Advanced Computer Vision with TensorFlow,COURSE,4.8,169.0,8200.0,Intermediate
470,HSE University,Машинное обучение: от статистики до нейросетей,SPECIALIZATION,4.5,13.0,2100.0,Intermediate
471,University of Colorado Boulder,"Algorithms for Searching, Sorting, and Indexing",COURSE,4.4,7.0,,Intermediate
472,University of California San Diego,Mathematical Thinking in Computer Science,COURSE,4.4,1834.0,100000.0,Beginner
473,DeepLearning.AI,Custom and Distributed Training with TensorFlow,COURSE,4.8,162.0,5300.0,Intermediate
474,IBM,"Penetration Testing, Incident Response and Forensics",COURSE,4.6,732.0,17000.0,Beginner
475,"University of California, Santa Cruz",C for Everyone: Programming Fundamentals,COURSE,4.5,3952.0,140000.0,Beginner
